Route Number,Route Name_x,Schedule Period Name,Day Type,Time Period,Averge Early Stop count,Averge Late Stop count,Averge On-Time Stop count,Route Name_y,Average Boardings,Average Alightings,Average Pass-Up,Average Wheelchair Pass-Up
11,Portage-Kildonan,Summer 2023,Weekday,Evening,67.40816327,85.11564626,158.4693878,Portage-Kildonan,7.766467066,7.791017964,144,12
11,Portage-Kildonan,Summer 2023,Weekday,Mid-Day,117.9404762,244.2857143,521.1309524,Portage-Kildonan,19.99384615,19.58871795,93,20
11,Portage-Kildonan,Summer 2023,Weekday,Morning,111.9404762,45.07142857,338.8809524,Portage-Kildonan,7.317435897,6.872307692,10,0
11,Portage-Kildonan,Summer 2023,Weekday,Night,31.27516779,26.27516779,72.87248322,Portage-Kildonan,2.196374622,2.506646526,5,0
11,Portage-Kildonan,Summer 2023,Weekday,PM Peak,14.86928105,118.9019608,68.8627451,Portage-Kildonan,9.999543379,10.21415525,99,2
11,Portage-Kildonan,Winter 2022,Weekday,Evening,54.38513514,117.1756757,154.2567568,Portage-Kildonan,6.46497006,6.478443114,47,0
11,Portage-Kildonan,Winter 2022,Weekday,Mid-Day,85.39285714,330.3214286,439.1785714,Portage-Kildonan,18.40307692,17.97435897,81,1
11,Portage-Kildonan,Winter 2022,Weekday,Morning,58.03571429,82.83333333,336.5952381,Portage-Kildonan,7.00974359,6.667179487,2,0
11,Portage-Kildonan,Winter 2022,Weekday,Night,37.26351351,27.12162162,102.1554054,Portage-Kildonan,1.854380665,2.152265861,3,0
11,Portage-Kildonan,Winter 2022,Weekday,PM Peak,12.0516129,145.0064516,51.07096774,Portage-Kildonan,8.898173516,9.096347032,65,0
12,William,Fall 2022,Weekday,Evening,32.23684211,10.21052632,162.2368421,William,2.203896104,2.438961039,0,0
12,William,Fall 2022,Weekday,Mid-Day,76.29268293,45.54878049,236.9512195,William,6.901298701,6.718181818,0,0
12,William,Fall 2022,Weekday,Morning,26.8902439,15.80487805,164.9390244,William,5.064935065,4.87012987,0,0
12,William,Fall 2022,Weekday,PM Peak,19.45121951,56.57317073,113.8292683,William,5.481818182,5.579220779,0,0
12,William,Spring 2023,Weekday,Evening,57.33333333,14.76190476,118.8571429,William,2.774025974,3.024675325,0,0
12,William,Spring 2023,Weekday,Mid-Day,85.44827586,43.29885057,301.7241379,William,7.714285714,7.642857143,0,0
12,William,Spring 2023,Weekday,Morning,42.86363636,12.43181818,190.7954545,William,4.927272727,4.671428571,0,0
12,William,Spring 2023,Weekday,PM Peak,37.21590909,60.72727273,112.6477273,William,5.505194805,5.531168831,0,1
12,William,Summer 2022,Weekday,Evening,35.1875,11.325,141.7875,William,2.15974026,2.353246753,0,0
12,William,Summer 2022,Weekday,Mid-Day,53.34939759,62.19277108,241.9036145,William,5.627272727,5.419480519,0,0
12,William,Summer 2022,Weekday,Morning,28.55813953,16.5,148.627907,William,3.02987013,2.916883117,0,0
12,William,Summer 2022,Weekday,PM Peak,39.25,40.76190476,104.7619048,William,4.028571429,4.133766234,0,0
12,William,Summer 2023,Weekday,Evening,46.69047619,17.52380952,139.952381,William,2.609090909,2.884415584,0,0
12,William,Summer 2023,Weekday,Mid-Day,88.9047619,62.30952381,268.3809524,William,6.824675325,6.702597403,0,0
12,William,Summer 2023,Weekday,Morning,53.14285714,12.9047619,169.6190476,William,3.701298701,3.48961039,0,0
12,William,Summer 2023,Weekday,PM Peak,33.88095238,43.02380952,121,William,5.263636364,5.27012987,0,0
12,William,Winter 2022,Weekday,Evening,20.57142857,36.5952381,116.2857143,William,2.150649351,2.379220779,0,0
12,William,Winter 2022,Weekday,Mid-Day,65.83333333,66.85714286,250.6666667,William,7.019480519,6.833766234,1,0
12,William,Winter 2022,Weekday,Morning,45.35714286,21.97619048,156.8809524,William,4.471428571,4.279220779,0,0
12,William,Winter 2022,Weekday,PM Peak,25.83333333,91.19047619,78.88095238,William,5.122077922,5.242857143,0,0
14,Ellice-St. Mary's,Fall 2022,Weekday,Evening,21.9875,66.8625,106.1,St. Mary's-Ellice,4.117050691,4.335023041,1,0
14,Ellice-St. Mary's,Fall 2022,Weekday,Mid-Day,92.57594937,175.556962,375.4746835,St. Mary's-Ellice,13.08202765,12.87880184,23,2
14,Ellice-St. Mary's,Fall 2022,Weekday,Morning,78.39735099,57.50993377,323.5165563,St. Mary's-Ellice,6.702764977,6.225806452,1,0
14,Ellice-St. Mary's,Fall 2022,Weekday,Night,22.81896552,27.06896552,61.37931034,St. Mary's-Ellice,1.146082949,1.347004608,0,0
14,Ellice-St. Mary's,Fall 2022,Weekday,PM Peak,38.80745342,149.2670807,155.068323,St. Mary's-Ellice,7.5,7.665898618,20,1
14,Ellice-St. Mary's,Spring 2023,Weekday,Evening,22.88484848,68.56363636,71.81818182,St. Mary's-Ellice,5.004147465,5.310138249,2,0
14,Ellice-St. Mary's,Spring 2023,Weekday,Mid-Day,98.75308642,192.9814815,438.3765432,St. Mary's-Ellice,13.77557604,13.54930876,15,5
14,Ellice-St. Mary's,Spring 2023,Weekday,Morning,83.63870968,63.26451613,372.1419355,St. Mary's-Ellice,7.698156682,7.098617512,2,0
14,Ellice-St. Mary's,Spring 2023,Weekday,Night,17.55696203,37.98734177,53.91139241,St. Mary's-Ellice,1.256682028,1.459907834,0,0
14,Ellice-St. Mary's,Spring 2023,Weekday,PM Peak,42.73142857,171.0114286,127.8514286,St. Mary's-Ellice,9.202764977,9.352073733,20,2
14,Ellice-St. Mary's,Summer 2022,Weekday,Evening,27.03703704,53.35802469,114.9012346,St. Mary's-Ellice,4.043778802,4.303686636,0,0
14,Ellice-St. Mary's,Summer 2022,Weekday,Mid-Day,109.7654321,146.3271605,411.5123457,St. Mary's-Ellice,10.79170507,10.48847926,13,6
14,Ellice-St. Mary's,Summer 2022,Weekday,Morning,84.82352941,49.59477124,327.0522876,St. Mary's-Ellice,4.586635945,4.209677419,0,0
