,Route Number,Route Name_x,Schedule Period Name,Day Type,Time Period,Averge Early Stop count,Averge Late Stop count,Averge On-Time Stop count,Route Name_y,Average Boardings,Average Alightings,Average Pass-Up,Average Wheelchair Pass-Up
42,10,St. Boniface-West Broadway,Summer 2023,Sunday,Evening,2.75,63.625,78.25,,,,0.0,0.0
43,10,St. Boniface-West Broadway,Summer 2023,Weekday,Evening,10.911111111111111,16.91111111111111,39.666666666666664,St.Boniface-West Broadway,1.469090909090909,1.3918181818181818,0.0,0.0
44,10,St. Boniface-West Broadway,Summer 2023,Saturday,Mid-Day,24.5,40.0,167.5,,,,0.0,0.0
45,10,St. Boniface-West Broadway,Summer 2023,Special,Mid-Day,22.0,47.5,119.0,,,,0.0,0.0
46,10,St. Boniface-West Broadway,Summer 2023,Sunday,Mid-Day,34.625,5.125,145.0,,,,0.0,0.0
47,10,St. Boniface-West Broadway,Summer 2023,Weekday,Mid-Day,20.185185185185187,46.22222222222222,78.81481481481481,St.Boniface-West Broadway,2.8336363636363635,2.5281818181818183,0.0,0.0
48,10,St. Boniface-West Broadway,Summer 2023,Saturday,Morning,17.0,1.5,103.5,,,,1.0,2.0
49,10,St. Boniface-West Broadway,Summer 2023,Weekday,Morning,14.9125,8.3625,76.275,St.Boniface-West Broadway,2.540909090909091,2.435454545454545,1.0,2.0
50,10,St. Boniface-West Broadway,Summer 2023,Saturday,Night,5.25,18.5,48.0,,,,0.0,0.0
51,10,St. Boniface-West Broadway,Summer 2023,Special,Night,0.0,18.0,0.0,,,,0.0,0.0
52,10,St. Boniface-West Broadway,Summer 2023,Sunday,Night,10.0,0.0,4.666666666666667,,,,0.0,0.0
53,10,St. Boniface-West Broadway,Summer 2023,Weekday,Night,15.892857142857142,9.107142857142858,57.142857142857146,St.Boniface-West Broadway,0.4354545454545454,0.5254545454545455,0.0,0.0
54,10,St. Boniface-West Broadway,Summer 2023,Saturday,PM Peak,7.0,21.5,78.5,,,,0.0,0.0
55,10,St. Boniface-West Broadway,Summer 2023,Special,PM Peak,7.5,28.5,78.5,,,,0.0,0.0
56,10,St. Boniface-West Broadway,Summer 2023,Sunday,PM Peak,20.25,15.75,77.125,,,,0.0,0.0
57,10,St. Boniface-West Broadway,Summer 2023,Weekday,PM Peak,15.106060606060606,37.89393939393939,34.18181818181818,St.Boniface-West Broadway,2.515454545454545,2.618181818181818,0.0,0.0
58,10,St. Boniface-West Broadway,Winter 2022,Saturday,Evening,27.142857142857142,43.285714285714285,69.07142857142857,,,,0.0,0.0
59,10,St. Boniface-West Broadway,Winter 2022,Sunday,Evening,8.5,51.375,108.375,,,,0.0,0.0
60,10,St. Boniface-West Broadway,Winter 2022,Weekday,Evening,13.821428571428571,8.25,50.92857142857143,St.Boniface-West Broadway,1.4545454545454546,1.4481818181818182,0.0,0.0
61,10,St. Boniface-West Broadway,Winter 2022,Saturday,Mid-Day,30.714285714285715,34.42857142857143,166.71428571428572,,,,0.0,0.0
62,10,St. Boniface-West Broadway,Winter 2022,Sunday,Mid-Day,6.5,66.1,103.7,,,,0.0,0.0
63,10,St. Boniface-West Broadway,Winter 2022,Weekday,Mid-Day,48.648148148148145,13.537037037037036,91.94444444444444,St.Boniface-West Broadway,4.634545454545455,4.301818181818182,0.0,0.0
64,10,St. Boniface-West Broadway,Winter 2022,Saturday,Morning,19.785714285714285,11.785714285714286,91.21428571428571,,,,0.0,0.0
